,新聞,類別
0,（中央社記者吳柏緯台北5日電）美國在台協會（AIT）處長酈英傑今天表示，台灣在5年前就察覺中國基礎通信設施隱藏的資安風險並做出應對。如今，台灣的資安防範已是值得其他國家效仿的榜樣。2019年台灣網路治理論壇今天上午揭幕，美國在台協會處長酈英傑致詞時提到，目前在網路治理領域面臨的迫切挑戰，就是5G網路的安全。他說明目前美國致力發展5G網路的基礎建設，5G網路不僅關乎基礎通信設備，同時也是未來科技轉型的基礎，例如自駕車、人工智慧與物聯網。但在科技發展的過程中，同時也隱含著風險。酈英傑指出，美國與理念相近的國際夥伴，對於近年中國製造的電信設備感到憂心，他進一步說明，如果中國掌握了5G的基礎設備，就很有可能藉此竊取流經該網路的數據資料，導致使用者暴露於資安風險之下，更進一步，甚至可以藉此癱瘓他國的網路設施。不過酈英傑也特別提到，台灣很早就察覺了這些中國製造的電信設備隱藏的資安風險，於是從5年前就開始禁止使用中國製造的基礎通信設備。台灣是明智的榜樣，如今，世界各國才開始陸續效仿。酈英傑進一步表示，不只5G設施，物聯網一樣面對資安的風險，因為所有的東西都連上網路，代表所有東西都暴露在可能被駭的風險，要是有心人士想要操作，所有便利的數位服務都將成為潛在的網路漏洞。除了資安風險，網路治理的另一個挑戰就是錯假資訊。酈英傑說明，現在確實有人想要透過網路的便利，製造分裂、散布不實的內容，在民主社會中，錯誤與不實資訊，會令人懷疑民主的核心價值。酈英傑提醒，不只2016年俄國干預美國總統大選，根據可靠消息，台灣2018年的地方大選，同樣有來自外部的力量對選情造成影響。酈英傑說，這些情形都一再顯示，目前面對的惡意行為是企圖藉由社會開放的特性，攻擊社會。這些實行惡行的人確信，他們的行為將使社會分化更嚴重、更兩極化，民眾無法區分虛實將造成社會治理更加困難，甚至對民主體制失去信心。酈英傑說明，台灣不管在保護公民隱私、網路自由，以至於民主價值的各項討論中，都扮演著重要角色。台灣不但是網路供應鏈的重要一環，也是高度數位連結、充滿活力的民主社會。酈英傑表示，台灣也必須對「將數位科技用於限制宗教少數族群的自由」、「將數位科技用於社會信用體系」等行為說不，同時以台灣經驗提供務實的解決方式，與理念相近的國家共同捍衛民主價值。酈英傑說，雖然每一件事都不容易，但台灣一定做得到。（編輯：趙蔚蘭）1080705,科技
1,（中央社舊金山3日綜合外電報導）社群網站臉書今天晚間表示，「百分之百恢復了」，並為服務停擺造成的不便致歉。先前臉書因全面當機波及全球各地用戶。追蹤網路連線狀態的獨立網站DownDetector稍早曾指出，當機始於格林威治時間12時，影響臉書以及旗下的分享平台Instagram與通訊軟體WhatsApp。臉書於格林威治時間4日0時6分發推文說：「這個問題已解決，我們應該會百分百恢復」，並就所造成的不便道歉。美國媒體報導，代表Instagram與WhatsApp的臉書發言人解釋，「例行維修作業」意外觸發一個程式瑕疵，導致用戶難以上傳或傳送照片及影片。全球各地用戶通報這些軟體無法運作時，#Facebookodown及#Instagramdown在推特成為熱門標籤。根據DownDetector指出，全球數以千計用戶通報當機，主要是歐洲與北美州用戶受到影響，包括個人及企業和機構都遭受波及。美國中央情報局（CIA）於當機期間發推文表示：「是的，我們也被#Instagramdown波及，不，不是我們造成的，不，我們沒法解決你的狀況，你試過重開機嗎？」今年3月13日發生的臉書全球大當機持續了24小時，當時被歸咎於「伺服器組態改變」。（譯者：曹宇帆/核稿：劉學源）1080704,科技
2,（中央社記者吳家豪台北4日電）通訊軟體LINE去年7月成立數位資產交易所BITBOX，今天宣布回饋季活動起跑，將以數位代幣LINK來獎勵BITBOX用戶。LINK是用於LINE生態圈的數位代幣，由負責營運BITBOX的LINE子公司LINE Tech Plus發行，可用於支付音樂、影片以及網路漫畫；用於應用程式內的支付系統，以及個人用戶間的轉帳；還可以用於遊戲內的交易及強化角色。BITBOX也希望在BITBOX網站首頁新增LINK Info專區，以優化用戶的LINK交易體驗。LINK Info專區將涵蓋LINK相關資訊，包含價格走勢、最新LINK新聞、促銷和活動訊息等。（編輯：林興盟）1080704,科技
3,（中央社記者吳家豪台北4日電）Google搜尋推出新彩蛋，現在輸入英文字fireworks，螢幕上會出現超過20發的煙火動畫特效，持續約5到6秒；Google今天表示，這次彩蛋是為了慶祝7月4日美國國慶日。中央社記者實測，如果輸入中文「煙火」或英文單數firework都不會出現煙火特效，只有英文複數fireworks這個關鍵字才會觸發，包括在電腦版和手機版的Google搜尋都有這項特效。Google先前曾不定期推出搜尋彩蛋，例如今年4月有網友發現，在Google搜尋輸入電影「復仇者聯盟4」反派角色薩諾斯（Thanos）的英文或中文名字，在搜尋結果右方的介紹欄位會出現裝有無限寶石的手套，點擊後會讓一半的搜尋結果消失。（編輯：黃國倫）1080704,科技
4,（中央社記者吳家豪台北3日電）在台灣擁有2100萬用戶的通訊軟體LINE宣布將於10日舉辦音樂串流服務LINE MUSIC上線記者會，邀請知名歌手李玟擔任代言人；LINE表示，首波將開放用戶免費體驗30天。根據LINE發出的媒體邀請函，LINE秉持「智慧入口」願景，將於7月10日舉辦LINE MUSIC上線記者會，正式宣布在台推出LINE MUSIC服務，不僅打造音樂串流體驗，更將發表全新個人化音樂服務。LINE MUSIC將攜手眾多在地音樂夥伴，10日記者會邀請環球國際唱片大中華區總裁暨執行長張松輝致詞，並由LINE台灣內容事業副總經理張景雯介紹LINE MUSIC新服務及功能亮點。代言人李玟也將現身記者會，說明合作契機及分享最愛功能。LINE表示，LINE MUSIC服務首波將開放用戶免費體驗30天，新功能包括LINE語音通話的鈴聲可自行編輯等，其他功能將等到10日記者會揭曉。LINE於6月27日在日本東京舉行年度發表會LINE CONFERENCE 2019，會中公布LINE MUSIC在日本市場最新數據。截至今年5月，LINE MUSIC在日本下載次數超過3200萬次，歌曲數量超過5400萬首，每月活躍用戶數超過1100萬人。LINE在年會中宣布，預計今年秋季在日本推出LINE MUSIC新功能，包含用戶能依據各自需求自由切換明暗主題、推出可調節音質的平衡器、全新優化的操作介面，讓用戶可更容易選取喜歡的音樂內容。此外，LINE MUSIC將讓用戶可以根據不同心情和音樂類型，每天更新播放清單。LINE MUSIC預計今年秋季在日本推出全新的音樂免付費方案One Play，用戶註冊後，每24小時可完整聆聽一首歌；歌曲庫還可讓用戶即時查看朋友所提到的歌曲或當下最流行的曲調，更容易找到下一個喜愛的歌手。（編輯：張均懋）1080703,科技
5,（中央社記者吳柏緯台北3日電）科技部上午公布「產學研發聯盟合作計畫」3年以來，支持了56件研究計畫，培育124位高階研究人才，同時吸引產業界投入超過新台幣2億3000萬元，帶動半導體產值上看30億元。科技部與社團法人臺灣半導體產學研發聯盟（TIARA），上午公布過去3年產學研發聯盟合作計畫成果，並邀請清大與交大的參與團隊分享學研合作成果。科技部政務次長許有進指出，台灣是全球第3大的半導體輸出國，而且未來半導體仍會扮演重要角色。為強化半導體產業發展、培育高階研發人才，科技部從2017年開始推動產學研發聯盟合作計畫。根據科技部統計，過去3年，已補助56件研究計畫，橫跨IC設計、製造與封測，除了與國內8所大學合作，包含聯發科、台積電與聯電等科技大廠也是這項計畫的合作夥伴。許有進進一步說明，科技部補助經費已達1億1600萬元，並帶動業界整體投入2億3000萬元，而包含衍生技轉與合作，所帶動的半導體總產值上看30億元。今天的成果發表會，邀請了2組參與計畫的團隊與會分享。國立清華大學電子工程研究所教授陳新的團隊，投入無線生醫診療晶片的研究達15年，並在2年前開始思考產業化，剛好遇上科技部推動產學合作計畫，並獲得聯華電子、生奕科技的支持。陳新進一步說明，目前無線腦神經診療晶片與控制系統，已經可以透過外科手術植入頭皮之下，藉此觀察腦部的神經活動。不過目前的晶片技術缺乏記錄功能，難以達到個人與客製化的醫療需求，此外侵入性手術對於病患的身體負擔過大。這次產學合作的成果，不但將晶片的體積縮小，並將神經記錄與電力系統整合在微型晶片之中，並將電源與訊號控制系統置於體外，降低手術難度。國立交通大學材料科學與工程學系教授陳智帶領的團隊，致力研發不同的奈米雙晶銅電鍍添加劑，並將此技術運用在封裝高效能計算晶片，解決過去晶片封裝的限制，增加高效能計算晶片與手機晶片的壽命與競爭力。「以前念博士時可以吃牛肉麵，但現在博士生只能吃牛肉湯麵，誰要念博士。」臺灣半導體產學研發聯盟常務理事盧超群指出，半導體產業是最公平的競爭，就算是家庭經濟背景相對弱勢的學生，也都能在半導體領域得到成功，而他自己就是一個例子。他進一步表示，現在透過這項合作計畫，不只科技部，產業也會拿錢出來資助這些優秀的博士生，讓他們無後顧之憂的進行研究。科技部長陳良基也特別感謝盧超群，在2015年的時後就積極為這項計畫奔走，他也承諾，只要持續有人才需求，科技部就會全力配合，當這些人才堅強的後盾。（編輯：張均懋）1080703,科技
6,（中央社華盛頓1日綜合外電報導）內部審查報告指其行動「太過狹隘」之後，臉書（Facebook）今天表示將採取新措施，移除與頌揚白人民族主義與白人分離主義相關的內容。審查由曾任職美國民權聯盟（American Civil Liberties Union）的民權律師墨菲（Laura Murphy）領導，報告指出，臉書政策只禁止「明確讚揚、支持或表現」這類詞彙的內容，這樣並不夠，「到頭來，會造成同樣傷害的內容有可能還留在平台上」。臉書營運長桑德柏格（Sheryl Sandberg）回應去年展開的民權審查說，臉書會尋求收緊針對憎恨言論的相關政策。外界批評臉書，比起保護使用者或阻止欺騙、霸凌和騷擾，更注重成長。桑德柏格在聲明中說：「今天的報告建議我們更進一步，把支持白人民族主義意識形態的內容納入其中，即使沒有明確用到『白人民族主義』和『白人分離主義』這類詞彙。」（譯者：鄭詩韻/核稿：劉淑琴）1080702,科技
7,（中央社記者吳柏緯台北2日電）科技部長陳良基與Google Taiwan董事總經理簡立峰、臺灣大學副校長陳銘憲及臺大人工智慧研究中心主任陳信希，今天共同為第二屆AI創新研究營揭幕，盼透過深度交流，讓台灣AI創新實力更上一層樓。邁入第二屆的AI創新研究營今天正式登場，今年邀請9位Google AI研究團隊的AI專家與會，並和臺灣大學、清華大學、交通大學及成功大學等4所AI創新研究中心，超過百位的AI專家學者及研究團隊，就推薦系統、強化學習、機器學習於醫療應用、語音辨識等領域交流。科技部稍早透過新聞稿表示，去年舉辦第一屆AI創新研究營後，國內多所學研機構的學者與團隊，陸續與Google AI研究團隊在移地研究、學術研討、國際競賽、應用開發等不同面向進行交流，並獲得不錯的成果，因此今年持續舉辦，希望借鏡Google在國際大型專案研究及開發經驗，並透過國內4大AI創新研究中心整合、推動，帶動產學交流與雙贏的成效。科技部表示，部長陳良基也曾多次提及，全球AI運算主機有80%都是台灣製造出口，在這樣的環境之下，台灣是很有機會的。科技部進一步說明，這次與Google再度舉辦AI創新研究營，期盼透過兩天密集與客製化的培訓課程，展現Google培育台灣AI人才的決心，同時響應科技部AI科研相關政策，並推動強化台灣頂尖AI科技研究與國際接軌。（編輯：楊玫寧）1080702,科技
8,（中央社記者吳柏緯台北2日電）今年由國網中心除役的超級電腦「御風者」可望找到新家。國研院國網中心副主任林錫慶今天表示，「御風者」徵求受捐贈單位已進入決選環節，最快下週就會公布獎落誰家。「御風者」是由科技部國家實驗研究院高速網路與計算中心、電腦製造商宏碁股份有限公司共同打造，曾在2011年6月發布的TOP500世界五百大超級電腦排名中，拿下第42名的佳績。不過隨著達到服役年限、「台灣杉」與「台灣杉2號」等全新的超級電腦加入服役陣容，加上「御風者」因老舊而造成耗電量過大，已不適合在第一線作戰，因此國網中心今年正式宣告「御風者」退役，結束為期8年的任務。「御風者」雖已不適合做常態分析、運轉，但對於一些學研機構或非營利組織，仍是得力的幫手，因此國網中心決定無償將「御風者」捐贈給非營利組織或學術機構，供其使用。國網中心副主任林錫慶受訪時指出，國網中心6月底對外徵求受捐贈單位，並收到不少申請書。他進一步透露，經嚴格初選後，有一個機構進入決選，本週將在國網中心內部進行更嚴格與細部審查，如果順利通過，將會在下週將結果呈報至上級單位，如果沒有問題的話，「御風者」的新家也會一併在下週公布。林錫慶也特別提到，由於學術單位或非營利組織對於「御風者」的需求可能不會到100%，因此國網中心也會依照他們提出的需求評估，給予適當比例的硬體設備。屆時未捐出的「御風者」主機，也不排除作第二次的公開捐贈。（編輯：林興盟）1080702,科技
9,（中央社華盛頓27日綜合外電報導）美國國家航空暨太空總署（NASA）今天表示，打算派一架無人旋翼機飛向土星最大衛星泰坦（Titan，又稱土衛六），以尋找生命基石，作為探索太陽系的下一項任務。NASA將於2026年展開這項名為「蜻蜓」（Dragonfly）的任務，預定2034年登陸，將派出一架旋翼機飛到這顆冰層覆蓋衛星的數十處地點；泰坦有濃厚大氣層，科學家認為這裡相當於非常早期的地球。這是除了地球以外，唯一已知表面有液態河流、湖泊和海洋的天體，儘管裡頭含有甲烷和乙烷等碳氫化合物，而非水。NASA署長布萊登斯坦（Jim Bridenstine）說：「造訪這個神祕海洋世界，可以徹底改變我們對宇宙生命的理解。」「這項先進任務幾年前是難以想像的，但我們現在準備好迎接蜻蜓任務的驚人飛行。」NASA指出，這架飛行器有8個旋翼，能像大型無人機般飛行。NASA發聲明表示：「在這項基線2.7年的任務中，蜻蜓將探索從有機沙丘到撞擊坑底部等各種環境，在這裡液態水以及生命關鍵的複雜有機物質，可能曾經共存數萬年。」泰坦是太陽系第2大衛星，擁有厚厚的水冰殼，水冰殼下面是一個主要由水組成的海洋。泰坦大氣層大部分為氮氣，和地球一樣，但密度是地球的4倍，而甲烷構成泰坦的雲和雨。泰坦距離太陽約14億公里，其表面溫度為攝氏零下179度，地表壓力較地球高約50%。（譯者：葉俐緯/核稿：劉學源）1080628,科技
